Invoice #,Invoice Date,Paid Date,Balance Amount,Shipment Create Date,Shipper Company,Shp. Address,Shp. City,Shp. State,Shp. Zip/Postal Code,Shp. Country,Pickup Date,Pickup Company,PU Address,PU City,PU State,PU Zip/Postal ,PU Country,Delivery Company,Dlv. Address,Dlv. City,Dlv. State,Dlv. Zip/Postal ,Dlv. Country,HAWB #,Item #,P.O.#,MAWB #,Shippers Ref,Pick Up Invoice Number,Commodity,,Weight (LBs),Weight (KGs),Chrg. Weight (KGs),Liability,Liability Currency,Base Charge,Weight Charge,Valuation Charge,Security Charge,Fuel Charge,Other Charges,Tax Amount,Total,Currency Code,Invoicing Entity
2297598,09-Nov-2022,12-Dec-2022,0.00,01-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,01-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013709422,990109539006 ,,724-2629-7003,5170614,,Lab Grown Diamonds,,8.55,3.88,3.88,"95,077",(USD) ,85.00,0.00,57.05,25.00,0.00,35.00,0.00,202.05,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2297598,09-Nov-2022,12-Dec-2022,0.00,02-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,02-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013709569,990109540686 ,,724-2629-7180,5194625,,Lab Grown Diamonds,,8.75,3.97,3.97,"101,305",(USD) ,85.00,0.00,60.78,25.00,0.00,114.06,0.00,284.84,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2297598,09-Nov-2022,12-Dec-2022,0.00,03-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,03-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013709699,990109542392 ,,724-2629-7246,5219841,,Lab Grown Diamonds,,18.39,8.34,8.34,"161,014",(USD) ,85.00,0.00,96.61,25.00,0.00,135.03,0.00,341.64,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2297598,09-Nov-2022,12-Dec-2022,0.00,04-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,04-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013709882,990109544444 ,,724-2629-7316,5244998,,Lab Grown Diamonds,,30.36,13.77,13.77,"283,831",(USD) ,85.00,0.00,170.30,25.00,0.00,35.00,0.00,315.30,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2299020,25-Nov-2022,23-Dec-2022,0.00,07-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,07-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013710205,990109548736 ,,724-2629-7611,5297375,,Lab Grown Diamonds,,26.54,12.04,12.04,"207,989",(USD) ,85.00,0.00,124.79,25.00,0.00,35.00,0.00,269.79,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2299020,25-Nov-2022,23-Dec-2022,0.00,09-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,09-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013710515,990109552365 ,,724-2629-7681,5342505,,Lab Grown Diamonds,,52.40,23.77,23.77,"472,472",(USD) ,85.00,0.00,283.48,25.00,0.00,209.10,0.00,602.58,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2299020,25-Nov-2022,23-Dec-2022,0.00,11-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,11-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013711100,990109559236 ,,724-2629-7762,5397041,,Lab Grown Diamonds,,34.68,15.73,15.73,"325,687",(USD) ,85.00,0.00,195.41,25.00,0.00,170.50,0.00,475.91,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2299020,25-Nov-2022,23-Dec-2022,0.00,14-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,14-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013711366,990109562434 ,,724-2629-8112,5442923,,Lab Grown Diamonds,,20.35,9.23,9.23,"218,461",(USD) ,85.00,0.00,131.08,25.00,0.00,35.00,0.00,276.08,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2299020,25-Nov-2022,23-Dec-2022,0.00,15-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,15-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013711679,990109565956 ,,724-2629-8156,5472187,,Lab Grown Diamonds,,14.84,6.73,6.73,"141,349",(USD) ,85.00,0.00,84.81,25.00,0.00,35.00,0.00,229.81,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2299020,25-Nov-2022,23-Dec-2022,0.00,16-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,16-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013711866,990109568130 ,,724-2630-8354,5489145,,Lab Grown Diamonds,,12.63,5.73,5.73,"105,988",(USD) ,85.00,0.00,63.59,25.00,0.00,35.00,0.00,208.59,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
