Invoice #,Invoice Date,Paid Date,Balance Amount,Shipment Create Date,Shipper Company,Shp. Address,Shp. City,Shp. State,Shp. Zip/Postal Code,Shp. Country,Pickup Date,Pickup Company,PU Address,PU City,PU State,PU Zip/Postal ,PU Country,Delivery Company,Dlv. Address,Dlv. City,Dlv. State,Dlv. Zip/Postal ,Dlv. Country,HAWB #,Item #,P.O.#,MAWB #,Shippers Ref,Pick Up Invoice Number,Commodity,,Weight (LBs),Weight (KGs),Chrg. Weight (KGs),Liability,Liability Currency,Base Charge,Weight Charge,Valuation Charge,Security Charge,Fuel Charge,Other Charges,Tax Amount,Total,Currency Code,Invoicing Entity
130662,14-Apr-2023,21-Apr-2023,0.00,03-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,03-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013739531,990109882010 ,,160-5592-6835,9029315,,Lab Grown Diamonds,,4.63,2.10,2.10,"43,604",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
130704,21-Apr-2023,Not Paid,778.50,05-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,05-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013739952,990109887083 ,,160-5592-6920,9081210,,Lab Grown Diamonds,,11.90,5.40,5.40,"157,038",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
130857,30-Apr-2023,12-May-2023,0.00,17-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,17-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013742056,990109910975 ,,160-5592-7745,9335335,,Lab Grown Diamonds,,2.87,1.30,1.30,"16,869",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
130861,30-Apr-2023,12-May-2023,0.00,18-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,18-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013742324,990109913985 ,,160-5592-7804,9366258,,Lab Grown Diamonds,,4.32,1.96,1.96,"27,823",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
130883,30-Apr-2023,12-May-2023,0.00,21-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,21-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013743054,990109922035 ,,160-5592-7944,9451222,,Lab Grown Diamonds,,9.77,4.43,4.43,"97,765",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
130892,30-Apr-2023,12-May-2023,0.00,24-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,24-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013743376,990109925911 ,,160-5592-8095,9499186,,Lab Grown Diamonds,,6.83,3.10,3.10,"67,371",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
130894,30-Apr-2023,12-May-2023,0.00,25-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,25-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013743742,990109929890 ,,160-5592-8095,9532307,,Lab Grown Diamonds,,5.42,2.46,2.46,"65,356",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
130953,11-May-2023,18-May-2023,0.00,02-May-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,02-May-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013744978,990109943912 ,,160-5592-8401,9700378,,Lab Grown Diamonds,,6.61,3.00,3.00,"58,188",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
131066,25-May-2023,02-Jun-2023,0.00,15-May-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,15-May-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013747467,990109972365 ,,160-5592-9204,1021081,,Lab Grown Diamonds,,7.12,3.23,3.23,"52,089",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
131220,31-May-2023,15-Jun-2023,0.00,22-May-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,22-May-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013748868,990109988572 ,,160-5592-9834,1185431,,Lab Grown Diamonds,,4.63,2.10,2.10,"28,687",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
131260,31-May-2023,15-Jun-2023,0.00,29-May-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,29-May-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013750235,990110004090 ,,160-5593-0184,1354647,,Lab Grown Diamonds,,4.85,2.20,2.20,"54,582",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
131328,08-Jun-2023,15-Jun-2023,0.00,05-Jun-2023,NIVODA LLP,"JE 9010 B , Bharat ",MUMBAI,MH,400051,IN,05-Jun-2023,NIVODA LLP,"JE 9010 B , Bharat ",MUMBAI,MH,400051,IN,NIVODA AUSTRALIA ,19 WEMBLY GDNS,DONVALE,,3111,AU,99013751276,990110016056 ,,160-5593-0593,1527578,,Lab Grown Diamonds,,4.19,1.90,1.90,"23,335",(AUD) ,0.00,0.00,725.00,0.00,0.00,0.00,53.50,778.50,AUD,"BRINK'S AUSTRALIA PTY LTD,ALEXANDRIA,"
