JobNo,JobDate,BillNo,BillDate,Shipping Bill No/BOE NO,Shipper,Consignee,DESTINATION,COUNTRY,InvNo_Dt,SB/BE NO,SB/BE Date,HAWBNO,HAWB_DATE,MAWBNO,MAWB_DATE,Flight No,Flight Date,No of Pkg,Net wt,Net Wt UOM,GROSS_WEIGHT,GROSS_WEIGHTUNIT,Value in Us$,Value in INR,Agency,REIMBURS,TaxTotal,Total,TaxableValue,IGSTAMOUNT,AGENT,DESCRIPTION
KI002806            ,7/12/2022,2723BKCIMP025124,7/21/2022,9521362-12.07.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,9521362-12.07.2022,7/12/2022,3405-0440534,7/11/2022,176 39996412,7/11/2022,EK 504,7/13/2022,1,9.79,CTM       ,0.2,KG  ,13517.74,1080067,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI002931            ,7/16/2022,2723BKCIMP026602,7/27/2022,9594897-16.07.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,9594897-16.07.2022,7/16/2022,1101-4787395,7/14/2022,724 25493661,7/16/2022,,7/18/2022,1,29.5,CTM       ,0.2,KG  ,27936.21,2232103,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI002967            ,7/16/2022,2723BKCIMP026753,7/28/2022,9594327-17.07.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,9594327-17.07.2022,7/16/2022,7882683,7/16/2022,125 96901884,7/16/2022,,7/18/2022,1,5.94,CTM       ,0.2,KG  ,3035.55,291716,5050,0,909,5959,,,MAL   ,ROUGH SYNTHETIC STONE
KI003121            ,7/23/2022,2723BKCIMP027068,7/29/2022,9708818-25.07.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,9708818-25.07.2022,7/23/2022,3405-0441331,7/22/2022,176 50172415,7/23/2022,,7/25/2022,1,7.31,CTM       ,0.2,KG  ,8551.18,692218,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI003277            ,7/28/2022,2723BKCIMP028371,8/4/2022,9765528-28.07.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,9765528-28.07.2022,7/28/2022,3405-0441725,7/27/2022,176 50172640,7/28/2022,,7/30/2022,1,5.46,CTM       ,0.2,KG  ,6817.97,551915,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI003264            ,7/27/2022,2723BKCIMP028470,8/4/2022,9750693-27.07.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,9750693-27.07.2022,7/27/2022,1101-4803001,7/25/2022,724 25494560,7/27/2022,,7/29/2022,1,15.95,CTM       ,0.2,KG  ,13903.45,1125484,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI003482            ,8/3/2022,2723BKCIMP029274,8/8/2022,9846096-03.08.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,9846096-03.08.2022,8/3/2022,1101-4814471,8/1/2022,724 26023992,8/3/2022,,8/5/2022,1,16.13,CTM       ,0.2,KG  ,15955.23,1291576,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI003483            ,8/3/2022,2723BKCIMP029861,8/11/2022,9845924-03.08.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,9845924-03.08.2022,8/3/2022,7882933,8/2/2022,125 96902142,8/2/2022,,8/4/2022,1,12.08,CTM       ,0.4,KG  ,11600.91,939094,5050,0,909,5959,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI003736            ,8/13/2022,2723BKCIMP032367,8/24/2022,2028596-16.08.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,2028596-16.08.2022,8/13/2022,1101-4835134,8/13/2022,724 26024821,8/13/2022,,8/15/2022,1,30.5,CTM       ,0.2,KG  ,34448.05,2764456,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI003700            ,8/13/2022,2723BKCIMP032370,8/24/2022,9997875-13.08.2022,NIVODA LLP,NIVODA LLP,ANR,BELGIUM             ,,9997875-13.08.2022,8/13/2022,41170931,8/12/2022,724 24947451,8/12/2022,,8/14/2022,1,3.08,CTM       ,0.2,KG  ,13930.62,1145097,5050,0,909,5959,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
