JobNo,JobDate,BillNo,BillDate,Shipping Bill No/BOE NO,Shipper,Consignee,DESTINATION,COUNTRY,InvNo_Dt,SB/BE NO,SB/BE Date,HAWBNO,HAWB_DATE,MAWBNO,MAWB_DATE,Flight No,Flight Date,No of Pkg,Net wt,Net Wt UOM,GROSS_WEIGHT,GROSS_WEIGHTUNIT,Value in Us$,Value in INR,Agency,REIMBURS,TaxTotal,Total,TaxableValue,IGSTAMOUNT,AGENT,DESCRIPTION
KI007929            ,1/27/2023,2723BKCIMP068568,2/7/2023,4383674-28.01.2023,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,4383674-28.01.2023,1/27/2023,1101-5119248,1/26/2023,724 70106024,1/26/2023,LX 154,1/28/2023,1,19.65,CTM       ,0.2,KG  ,18340.94,1509459,4550,0,819,5369,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008025            ,1/31/2023,2723BKCIMP068952,2/9/2023,4449273-01-02-23,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,4449273-01-02-23,1/31/2023,7885511,1/30/2023,125 53232712,1/30/2023,,2/1/2023,1,8.72,CTM       ,0.2,KG  ,40320.11,4116683,3550,0,639,4189,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008179            ,2/4/2023,2723BKCIMP069756,2/13/2023,4511662-06.02.2023,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,LGPD,4511662-06.02.2023,2/4/2023,1101-5138963,2/3/2023,724 70106573,2/2/2023,,2/4/2023,1,23.72,CTM       ,0.62,KG  ,45256.79,3744999,3550,0,639,4189,,,BR    ,ROUGH SYNTHETIC STONE
KI008257            ,2/9/2023,2723BKCIMP070714,2/16/2023,4577966-09.02.23,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,4577966-09.02.23,2/8/2023,3405-0453533,2/8/2023,176 56828376,2/8/2023,,2/10/2023,1,3.83,CTM       ,0.2,KG  ,3351.25,277316,3550,0,639,4189,,,BR    ,ROUGH SYNTHETIC STONE
KI008225            ,2/7/2023,2723BKCIMP070721,2/16/2023,4544354-07.02.23,NIVODA LLP,NIVODA LLP,LHR,GB                  ,,4544354-07.02.23,2/7/2023,7885626,2/6/2023,125 53232841,2/6/2023,,2/8/2023,1,14.88,CTM       ,0.2,KG  ,7990.68,824639,3550,0,639,4189,,,MAL   ,CUT AND POLISHED DIAMONDS
KI008316            ,2/10/2023,2723BKCIMP071426,2/17/2023,4609401-11.02.2023,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,4609401-11.02.2023,2/10/2023,1101-05145975,2/8/2023,724 70107030,2/9/2023,LX 154,2/11/2023,1,23.47,CTM       ,0.2,KG  ,14455.12,1196161,3550,0,639,4189,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008314            ,2/10/2023,2723BKCIMP072016,2/20/2023,4609015-11.02.2023,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,4609015-11.02.2023,2/10/2023,7885680,2/9/2023,125 53232900,2/9/2023,,2/11/2023,1,23.48,CTM       ,0.2,KG  ,33459.12,2768742,3550,0,639,4189,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008599            ,2/18/2023,2723BKCIMP073176,2/24/2023,4726901-20.02.2023,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,4726901-20.02.2023,2/18/2023,7885823,2/17/2023,125 53233040,2/17/2023,BA 139,2/19/2023,1,42.82,CTM       ,0.2,KG  ,35976.64,3649830,5550,0,999,6549,,,MAL   ,CUT & POLISHED DIAMONDS..
KI008578            ,2/18/2023,2723BKCIMP073210,2/24/2023,4721817-20.02.2023,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,4721817-20.02.2023,2/18/2023,1101-5160589,2/18/2023,160 50151872,2/18/2023,,2/20/2023,1,50.79,CTM       ,0.2,KG  ,68559.4,5734994,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008637            ,2/21/2023,2723BKCIMP073939,2/28/2023,4755704-22.02.2023,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,4755704-22.02.2023,2/21/2023,7885845,2/20/2023,125 53233095,2/20/2023,BA 139,2/22/2023,1,183.77,CTM       ,0.2,KG  ,168526.94,17097058,5550,0,999,6549,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008610            ,2/20/2023,2723BKCIMP074524,3/3/2023,4740227-21.02.2023,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,4740227-21.02.2023,2/20/2023,3405-0454350,2/20/2023,176 54181315,2/20/2023,EK 504,2/22/2023,1,5.73,CTM       ,0.2,KG  ,6591.54,551382,2550,0,459,3009,,,BR    ,ROUGH SYNTHETIC STONE
KI008713            ,2/24/2023,2723BKCIMP074553,3/3/2023,4801243-25.02.2023,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,4801243-25.02.2023,2/24/2023,1101-5169949,2/23/2023,724 70107564,2/23/2023,LX 154,2/25/2023,1,21.81,CTM       ,0.2,KG  ,26586.39,2223952,5550,0,999,6549,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008721            ,2/24/2023,2723BKCIMP074569,3/4/2023,4801265-25.02.23,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,4801265-25.02.23,2/24/2023,7885907,2/23/2023,724 27318631,2/23/2023,,2/25/2023,1,84.9,CTM       ,0.2,KG  ,125790.18,12761414,4550,0,819,5369,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008909            ,3/3/2023,2723BKCIMP076210,3/13/2023,4913555-04.03.23,NIVODA LLP,Niraj Kalka Singh,NYC,U.S.A.              ,,4913555-04.03.23,3/3/2023,1101-5184699,3/3/2023,724 70294534,3/3/2023,,3/5/2023,1,46.43,CTM       ,0.83,KG  ,73531.35,6139868,4550,0,819,5369,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008891            ,3/3/2023,2723BKCIMP076797,3/15/2023,4913296-04.03.2023,NIVODA LLP,,LON,GREAT BRITAIN       ,,4913296-04.03.2023,3/3/2023,7886014,3/2/2023,125 53233165,3/2/2023,BA 139,3/4/2023,1,78.19,CTM       ,0.2,KG  ,90047.8,9085823,4550,0,819,5369,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008801            ,2/28/2023,2723BKCIMP076799,3/15/2023,4834682-28.02.2023,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,4834682-28.02.2023,2/28/2023,7885932,2/27/2023,724 27318815,2/27/2023,,3/1/2023,1,18.61,CTM       ,0.2,KG  ,18484.56,18485,4550,0,819,5369,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI008920            ,3/4/2023,2723BKCIMP076846,3/15/2023,4913874-04.03.2023,NIVODA LLP,,HKG,HONG KONG           ,,4913874-04.03.2023,3/3/2023,3405-0455547,3/3/2023,176 54181562,3/3/2023,EK 500,3/5/2023,1,7.5,CTM       ,0.2,KG  ,4185.44,349484,4550,0,819,5369,,,BR    ,CUT AND POLISHED DIAMONDS
KI009178            ,3/10/2023,2723BKCIMP077577,3/17/2023,5009561-11.03.23,NIVODA LLP,,LON,GREAT BRITAIN       ,,5009561-11.03.23,3/10/2023,7886124,3/9/2023,125 53233250,3/9/2023,,3/11/2023,1,20.35,CTM       ,0.2,KG  ,11887.13,1199411,5550,0,999,6549,,,MAL   ,CUT AND POLISHED DIAMONDS
KI009211            ,3/11/2023,2723BKCIMP077794,3/18/2023,5030703-13.03.2023,NIVODA LLP,,NYC,U.S.A.              ,,5030703-13.03.2023,3/11/2023,11021551914,3/10/2023,724 70295131,3/11/2023,,3/13/2023,1,0.008,CTM       ,0.2,KG  ,40492.45,3381120,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI009261            ,3/11/2023,2723BKCIMP078321,3/21/2023,5013110-12-03-23,NIVODA LLP,,HKG,HONG KONG           ,,5013110-12-03-23,3/11/2023,3405-0456621,3/10/2023,176 55354703,3/10/2023,,3/12/2023,1,1930,CTM       ,0.2,KG  ,1127.5,94146,4550,0,819,5369,,,BR    ,ROUGH SYNTHETIC STONE
KI009481            ,3/18/2023,2723BKCIMP080006,3/27/2023,5128075-20.03.2023,NIVODA LLP,Niraj Kalka Singh,NYC,U.S.A.              ,,5128075-20.03.2023,3/18/2023,1102-1555389,3/17/2023,724 70295702,3/18/2023,,3/20/2023,1,29.24,CTM       ,0.2,KG  ,26678.09,2232956,5550,0,999,6549,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI009448            ,3/17/2023,2723BKCIMP080021,3/27/2023,5111396-18.03.2023,NIVODA LLP,,LON,GREAT BRITAIN       ,,5111396-18.03.2023,3/17/2023,7886229,3/16/2023,125 53233401,3/16/2023,BA 139,3/18/2023,1,77.85,CTM       ,0.2,KG  ,116384,11836253,5550,0,999,6549,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI009641            ,3/24/2023,2723BKCIMP080780,3/29/2023,5211411-24.03.2023,NIVODA LLP,,LON,GREAT BRITAIN       ,,5211411-24.03.2023,3/24/2023,7886325,3/23/2023,125 53233456,3/23/2023,BA 139,3/25/2023,1,37.22,CTM       ,0.2,KG  ,19777.7,2011392,5550,0,999,6549,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI009605            ,3/23/2023,2723BKCIMP080916,3/30/2023,5201956-24-03-23,NIVODA LLP,,HKG,HONG KONG           ,,5201956-24-03-23,3/23/2023,3405-0457391,3/22/2023,176 55355633,3/22/2023,EK 504,3/24/2023,1,9.23,CTM       ,0.2,KG  ,4824.81,403837,4550,0,819,5369,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
