#,Customer/Vendor Code,Customer/Vendor Name,Export/Import,PD/CHA,BP Reference No.,Posting Date,Due Date,Document Date,Internal Number,Document Number,E/IR,ER/IR No,Membership Number,Previous Receipt No,Shipper Address,Tracking Number,Order Number,Pay to,NoP,Gross Comm. UOM,Gross Wt,U_NWeight,Net Comm. UOM,IEC No,PD Account,MAWB No,HAWB No,Shipment Type,Document Total,Document Currency,ExporterCode,ExporterName,CHA No,CHB Nm-PD,CHB Cd-PD,Item/Service Description,Row Total,AddSerChrg,Weight,Value,Commodity,NetWt,Total Tax,Rounding Diff. Amount,Taxable Amt,Control Account,CGST Amt @ 9%,SGST Amt @ 9%,IGST Amt @ 18%,SacCode,Irn Number,Receipt No,Cheque No
43220,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,08/05/2023,07/06/2023,08/05/2023,2995591,267738,ER No,2740,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9816048,R1-JE9010B,5,Kgs,12.33,,CARAT,AAQFN4016M,PD-0579,12553808510,45995,NORMAL,1628,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1380,0,0,12364012.59,CUT AND POLISHED DIAMOND,277.240000 CARAT,248.4,-0.4,1380,1040201014,124.2,124.2,0,996719,28c3a79768409c2a2cd85c47416bfe00e4d68e602f3925ff1fb9c9e8f2177e6a,251687,
43316,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,06/04/2023,06/05/2023,06/04/2023,2839280,252139,ER No,1827,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9100866,R1-JE9010B,1,Kgs,0.35,,CARAT,AAQFN4016M,PD-0579,17658875456,0214,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,675000.02,CUT AND POLISHED DIAMOND,2.330000 CARAT,198,0,1100,1040201014,99,99,0,996719,94a2c731fa1457c1e86ada58433f2a8f618f7d3f232cf721245f8126405c750d,250860,
43432,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,20/05/2023,19/06/2023,20/05/2023,3009521,274800,ER No,10979,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1156252,R1-JE9010B,1,Kgs,1.3,,CARAT,AAQFN4016M,PD-0579,17686482406,99013748648,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1281998.62,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS,37.740000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,f032cd5bb07851506c74c53eb7c72b74fc3cf373bdc434fc1b877ed0391c9ae7,252793,
43482,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,13/04/2023,13/05/2023,13/04/2023,2861996,255958,ER No,5090,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9265479,R1-JE9010B,2,Kgs,5.89,,CARAT,AAQFN4016M,PD-0579,72470245055,41526,NORMAL,1392,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1180,0,0,6107014,CUT AND POLISHED DIAMOND,117.560000 CARAT,212.4,-0.4,1180,1040201014,106.2,106.2,0,996719,1938b0c10833c577d7dcb82536eec54fce3f722078c08c4c1cb5b386d354e7b3,250919,
43544,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,01/06/2023,01/07/2023,01/06/2023,3081524,280397,ER No,52,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1431192,R1-JE9010B,1,Kgs,0.63,,CARAT,AAQFN4016M,PD-0579,02345534565,1894,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,42373.46,CUT AND POLISHED DIAMOND,1.690000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,9494e521fafe5d546ab9c541e47336bed117644cf0e35e9fb6ee964553b43daf,252795,
43816,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,01/06/2023,01/07/2023,01/06/2023,3081536,280409,ER No,91,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1430243,R1-JE9010B,1,Kgs,0.75,,CARAT,AAQFN4016M,PD-0579,02345534554,IPS/K001889,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,103298.4,CUT AND POLISHED DIAMOND,7.210000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,6b30b3fe0b4f88cd0abf732835ac86fc1daf1ed98ebe61a9af85996ba6986dc7,252795,
43846,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,31/08/2023,30/09/2023,31/08/2023,3495653,323679,ER No,12721,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,3594415,R1-JE9010B,1,Kgs,1.29,,CARAT,AAQFN4016M,PD-0579,02347266564,IPS/K004695,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,2133515.33,CUT AND POLISHED DIAMOND,15.690000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,610de4ee2d4cd0af8878541697b7f85cdc1e9982c696fba95ab70ef9ca35f9e8,,
43861,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,06/05/2023,05/06/2023,06/05/2023,2994039,267322,ER No,2429,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9811264,R1-JE9010B,1,Kgs,0.57,,CARAT,AAQFN4016M,PD-0579,02345064250,IPS/K001059,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,17491.87,CUT AND POLISHED DIAMOND,2.140000 CARAT,198,0,1100,1040201014,99,99,0,996719,f0401cc8bf0ac9eae37c96e2c9f782981a26d38035afc1f57dace3d224a71c24,251687,
43867,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,17/04/2023,17/05/2023,17/04/2023,2867429,257207,ER No,6209,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9335335,R1-JE9010B,1,Kgs,1.29,,CARAT,AAQFN4016M,PD-0579,16055927745,2056,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,905001.54,CUT AND POLISHED DIAMOND,18.140000 CARAT,198,0,1100,1040201014,99,99,0,996719,223446115725485762b03fb940db2de82d87aae869a6edf917f80b086bbacff0,250919,
43910,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,13/06/2023,13/07/2023,13/06/2023,3101320,285431,IR No,299709,M5112,,",MALAD EAST,A-1902, BLUE MOUNTAIN BUILDING,MUMBAI-400097 Maharashtra India",,6378239,R1-JE9010B,1,Kgs,0.3,,CARAT,AAQFN4016M,PD-0579,72471414652,11015361497,RE-IMPORT,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1415650,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS,25.300000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,9492d56e7be6455d3edc4279ad00a7d1efb25839340c9bf2d9c4b431d914c03c,252795,
