Invoice #,Invoice Date,Paid Date,Balance Amount,Shipment Create Date,Shipper Company,Shp. Address,Shp. City,Shp. State,Shp. Zip/Postal Code,Shp. Country,Pickup Date,Pickup Company,PU Address,PU City,PU State,PU Zip/Postal ,PU Country,Delivery Company,Dlv. Address,Dlv. City,Dlv. State,Dlv. Zip/Postal ,Dlv. Country,HAWB #,Item #,P.O.#,MAWB #,Shippers Ref,Pick Up Invoice Number,Commodity,,Weight (LBs),Weight (KGs),Chrg. Weight (KGs),Liability,Liability Currency,Base Charge,Weight Charge,Valuation Charge,Security Charge,Fuel Charge,Other Charges,Tax Amount,Total,Currency Code,Invoicing Entity
804804,09-Nov-2022,16-Dec-2022,0.00,03-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,03-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA HK LIMITED,912C 9/F HUNG ,HONG KONG,,null,HK,99013709662,990109542064 ,,160-4953-0364,5213353,,Lab Grown Diamonds,,1.04,0.47,0.47,"5,222",(USD) ,12.18,0.00,0.00,0.00,0.00,0.00,0.00,12.18,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
804804,09-Nov-2022,16-Dec-2022,0.00,07-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,07-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA HK LIMITED,912C 9/F HUNG ,HONG KONG,,null,HK,99013710151,990109548224 ,,160-4953-0434,5292684,,Lab Grown Diamonds,,1.08,0.49,0.49,"7,468",(USD) ,12.18,0.00,0.00,0.00,0.00,0.00,0.00,12.18,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
805520,17-Nov-2022,16-Dec-2022,0.00,31-Oct-2022,Nivoda HK Ltd,"Flat/Rm 12C, Blk A, ",Hung Hom,,,HK,31-Oct-2022,Nivoda HK Ltd,"Flat/Rm 12C, Blk A, ",Hung Hom,,null,HK,Diamond Rocks Trading ,"11F , Almas Tower",Dubai,,null,AE,34050447571,340517166571 ,,176-5427-1184,,,Cut & Polished Diamonds,,0.88,0.40,0.78,"6,002",(USD) ,0.00,0.00,295.00,0.00,0.00,0.00,0.00,295.00,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
805520,17-Nov-2022,16-Dec-2022,0.00,31-Oct-2022,Nivoda HK Ltd,"Flat/Rm 12C, Blk A, ",Hung Hom,,,HK,31-Oct-2022,Nivoda HK Ltd,"Flat/Rm 12C, Blk A, ",Hung Hom,,null,HK,NIVODA LLP,JE 9010B BHARAT ,MUMBAI,MH,400051,IN,34050447569,340517166560 ,,176-5476-5675,,,C&P & Lab Grown Diamond,,1.32,0.60,0.87,"3,459",(USD) ,0.00,0.00,120.00,0.00,0.00,0.00,0.00,120.00,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
805520,17-Nov-2022,16-Dec-2022,0.00,03-Nov-2022,Nivoda HK Ltd,"912C, 9/F,",Hung Hom,,,HK,03-Nov-2022,Nivoda HK Ltd,"912C, 9/F,",Hung Hom,,null,HK,Nivoda Limited,"3 rd Floor , rear office ",London,,EC1N8LE,GB,34050447727,340517173873 ,,176-5427-1103,,,Cut & Polished Diamonds,,3.31,1.50,1.50,"75,089",(USD) ,0.00,462.50,0.00,0.00,0.00,0.00,0.00,462.50,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
805673,18-Nov-2022,24-Nov-2022,0.00,10-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,10-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA HK LIMITED,912C 9/F HUNG ,HONG KONG,,null,HK,99013710901,990109556694 ,,160-4953-0692,5377912,,Lab Grown Diamonds,,1.28,0.58,0.58,"3,694",(USD) ,12.18,0.00,0.00,0.00,0.00,0.00,0.00,12.18,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
806208,25-Nov-2022,27-Jan-2023,0.00,16-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,16-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA HK LIMITED,912C 9/F HUNG ,HONG KONG,,null,HK,99013711821,990109567695 ,,618-2545-0176,5488658,,Lab Grown Diamonds,,2.31,1.05,1.05,"15,311",(USD) ,12.18,0.00,0.00,0.00,0.00,0.00,0.00,12.18,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
806208,25-Nov-2022,27-Jan-2023,0.00,18-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,18-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA HK LIMITED,912C 9/F HUNG ,HONG KONG,,null,HK,99013712574,990109575896 ,,160-4953-1160,5556736,,Lab Grown Diamonds,,2.36,1.07,1.07,"11,377",(USD) ,12.18,0.00,0.00,0.00,0.00,0.00,0.00,12.18,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
806367,25-Nov-2022,16-Dec-2022,0.00,22-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,22-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA HK LIMITED,912C 9/F HUNG ,HONG KONG,,null,HK,99013713290,990109584090 ,,618-2545-0316,5641326,,Lab Grown Diamonds,,1.43,0.65,0.65,"11,403",(USD) ,12.18,0.00,0.00,0.00,0.00,0.00,0.00,12.18,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
806685,30-Nov-2022,27-Jan-2023,0.00,25-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,25-Nov-2022,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA HK LTD,912 C HUNG HOM ,HUNG HOM,,null,HK,99013714054,990109592254 ,,160-4953-1532,5722279,,Lab Grown Diamonds,,2.23,1.01,1.01,"26,113",(USD) ,12.18,0.00,0.00,0.00,0.00,0.00,0.00,12.18,USD,"BRINK'S HONG KONG LTD.,HONG KONG,HK"
