BVC Bill Date,BVC Bill No.,Our Invoice No.,Shipping Bill No/BOE NO,OUR INVOICE VALUE,BACK TO TOWN SURCHARGE,AMENDMENT FACILITAION FEE,ONLINE FILING & E-SANCHIT SERVICE FEE,MISCALLENEOUS CHARGES,CONSOLIDATED AGENCY CHARGES,TAXTYPE,CGST,SGST,Total Tax,Round off,Total Amount
4/16/2022,2723BKCEXP002359,IN-BE20220411037,9627251,905.76,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002793,IN-TR20220415025,9714563,14683.79,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002854,IN-GB20220412008,9670173,56468.13,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002855,IN-NL20220415026,9717573,23057,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002857,IN-NL20220415034,9717412,10589.87,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002859,IN-HK20220415026,9714540,14883.06,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/19/2022,2723BKCEXP002877,IN-US20220414033,9708222,48783.2,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/20/2022,2723BKCEXP003062,IN-AE20220416026,9733273,27411.29,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003334,IN-GB20220414035,9731407,123000.28,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003336,IN-GB20220415051,9731406,59176.31,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003338,IN-GB20220416044,9760556,30582.25,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003339,IN-US20220415061,9733884,79825.7,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003340,IN-US20220414056,9734060,189877.45,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003342,IN-US20220418013,9759620,69149.17,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003344,IN-US20220418018,9771145,400.35,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003345,IN-NL20220418029,9777808,10517.7,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/21/2022,2723BKCEXP003364,IN-BE20220418015,9755137,91.16,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/22/2022,2723BKCEXP003885,IN-US20220419003,9789482,64847.09,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/22/2022,2723BKCEXP003898,IN-US20220420007,9818765,215466.72,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/22/2022,2723BKCEXP003899,IN-NL20220419025,9806561,22832.38,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/22/2022,2723BKCEXP003901,IN-NL20220418021,9773701,2473.39,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/23/2022,2723BKCEXP004130,IN-NL20220421047,9862016,9526.79,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/23/2022,2723BKCEXP004133,IN-US20220422042,9876589,36648.33,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/23/2022,2723BKCEXP004134,IN-HK20220421032,9850111,19294.56,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004205,IN-US20220421030,9846190,87825.33,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004206,IN-GB20220418052,9789313,38168.58,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004207,IN-GB20220419052,9819474,58007.46,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004208,IN-GB20220420011,9819291,47202.53,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004209,IN-GB20220420019,9849202,87604.75,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004547,IN-AE20220423004,9901390,15769.2,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004550,IN-US20220422070,9898322,36710.77,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004551,IN-US20220422035,9874867,91612.54,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004552,IN-ZA20220420008,9814504,8653.85,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004554,IN-GB20220422062,9897716,55417.11,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/25/2022,2723BKCEXP004558,IN-GB20220421045,9875607,78021.08,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/27/2022,2723BKCEXP004824,IN-NL20220422071,9892028,16735.75,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/28/2022,2723BKCEXP005267,IN-GB20220423030,9930318,48114.79,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/28/2022,2723BKCEXP005268,IN-BE20220426014,9961238,1555.48,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/28/2022,2723BKCEXP005269,IN-US20220425005,9930814,114578.83,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005655,IN-NL20220426028,9981021,30222.8,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005657,IN-HK20220426013,9960014,18370.26,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005659,IN-US20220426011,9967760,60518.78,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005662,IN-AE20220427018,9988102,4931.85,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005663,IN-AE20220426029,9981025,11133.85,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005709,IN-GB20220427043,1022979,72573.44,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005711,IN-GB20220425061,9968633,64073.2,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005713,IN-GB20220426020,9994604,75283.51,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/29/2022,2723BKCEXP005804,IN-US20220427017,9993879,89148.84,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/30/2022,2723BKCEXP006130,IN-HK20220429026,1057401,39263.87,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/30/2022,2723BKCEXP006136,IN-NL20220427039,1021862,10487.01,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/30/2022,2723BKCEXP006138,IN-US20220428023,1022936,69944.58,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
4/30/2022,2723BKCEXP006141,IN-NL20220429010,1048596,11409.21,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/02/2022,2723BKCEXP006404,IN-US20220429004,1050905,115102.07,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/02/2022,2723BKCEXP006405,IN-GB20220428030,1051245,128647.07,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/04/2022,2723BKCEXP006617,IN-NL20220502008,1115660,11359.4,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/04/2022,2723BKCEXP006618,IN-DE20220429028,1069713,737.85,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/04/2022,2723BKCEXP006619,IN-TR20220430002,1085108,12273.52,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/04/2022,2723BKCEXP006621,IN-GB20220430020,1117946,50564.33,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/04/2022,2723BKCEXP006622,IN-US20220502002,1114872,75222.86,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/05/2022,2723BKCEXP006825,IN-GB20220429061,1085099,69522.08,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/05/2022,2723BKCEXP006826,IN-US20220429040,1084496,71306.89,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/05/2022,2723BKCEXP006876,IN-NL20220425010,9928809,14508.93,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/05/2022,2723BKCEXP006913,IN-HK20220503026,1152193,10283.1,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/05/2022,2723BKCEXP006918,IN-NL20220503033,1153574,33410.91,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/06/2022,2723BKCEXP007210,IN-GB20220503058,1155341,81183.62,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/06/2022,2723BKCEXP007212,IN-US20220504007,1154757,91656.81,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/06/2022,2723BKCEXP007250,IN-US20220505012,1183318,89395.27,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/07/2022,2723BKCEXP007454,IN-NL20220506005,1209991,36223.84,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/09/2022,2723BKCEXP007645,IN-US20220506002,1210759,157913.87,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/10/2022,2723BKCEXP007762,IN-GB20220505070,1210229,189033.86,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/10/2022,2723BKCEXP008055,IN-AE20220507004,1232174,26635.41,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/10/2022,2723BKCEXP008068,IN-HK20220509003,1257238,15555.02,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/12/2022,2723BKCEXP008439,IN-GB20220510018,1283381,4613.96,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/12/2022,2723BKCEXP008441,IN-US20220509002,1262202,174395.77,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/12/2022,2723BKCEXP008444,IN-BE20220509008,1259709,21423.84,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
05/12/2022,2723BKCEXP008448,IN-GB20220507046,1262530,122927.08,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/13/2022,2723BKCEXP008904,IN-US20220511044,1310313,159430.39,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/13/2022,2723BKCEXP008905,IN-GB20220510050,1311016,155345.99,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/16/2022,2723BKCEXP008976,IN-BE20220510047,1302344,49359.79,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/17/2022,2723BKCEXP009177,IN-TR20220512023,1347615,9078.83,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/17/2022,2723BKCEXP009179,IN-AE20220512022,1347000,15941.79,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/17/2022,2723BKCEXP009181,IN-HK20220512026,1352413,20892.86,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/17/2022,2723BKCEXP009183,IN-BE20220512033,1353486,29744.22,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/17/2022,2723BKCEXP009438,IN-GB20220512005,1362318,177155.13,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/18/2022,2723BKCEXP009623,IN-BE20220506011,1211323,6080.54,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/19/2022,2723BKCEXP009815,IN-AE20220516109,1430642,8893.91,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/19/2022,2723BKCEXP009818,IN-HK20220516096,1430707,21571.31,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/19/2022,2723BKCEXP010049,IN-GB20220516069,1437062,220124.51,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/19/2022,2723BKCEXP010065,IN-US20220516085,1435497,270731.54,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/19/2022,2723BKCEXP010066,IN-DE20220517005,1459724,891.25,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/21/2022,2723BKCEXP010614,IN-US20220518028,1462028,106988.52,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/21/2022,2723BKCEXP010638,IN-BE20220518032,1461635,46781.95,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/21/2022,2723BKCEXP010648,IN-BE20220517027,1431288,95399.88,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/21/2022,2723BKCEXP010649,IN-GB20220517006,1462025,87911.45,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/23/2022,2723BKCEXP010928,IN-NL20220519012,1515837,51683.24,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/23/2022,2723BKCEXP010982,IN-HK20220520068,1518070,28545.76,750,0,300,0,1500,CGST & SGST,229.5,229.5,459,0,3009
5/24/2022,2723BKCEXP011212,IN-GB20220519063,1520006,136622.05,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/24/2022,2723BKCEXP011213,IN-AE20220520076,1533559,13599.25,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/24/2022,2723BKCEXP011235,IN-AU20220520001,1531805,609.81,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/24/2022,2723BKCEXP011381,IN-AU20220521005,1580675,36426.36,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/24/2022,2723BKCEXP011382,IN-GB20220521007,1579848,130224.68,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/24/2022,2723BKCEXP011383,IN-US20220520062,1531405,263523.54,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/26/2022,2723BKCEXP011677,IN-US20220524034,1600717,6549.06,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/26/2022,2723BKCEXP011678,IN-NL20220523030,1582586,19252.41,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/26/2022,2723BKCEXP011679,IN-ZA20220523036,1595424,4653.62,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/27/2022,2723BKCEXP011940,IN-AU20220524048,1612880,54356.53,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/27/2022,2723BKCEXP011943,IN-NL20220525050,1637759,50909.26,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/27/2022,2723BKCEXP011945,IN-AE20220524052,1611645,8515.04,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/27/2022,2723BKCEXP011947,IN-HK20220523012,1587962,39328.86,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/27/2022,2723BKCEXP011949,IN-US20220523031,1604147,234796.57,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/27/2022,2723BKCEXP012060,IN-GB20220524033,1634859,204805.43,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/28/2022,2723BKCEXP012404,IN-US20220513029,1362889,255942.29,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/28/2022,2723BKCEXP012537,IN-US20220526006,1662738,71617.34,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/30/2022,2723BKCEXP012709,IN-US20220527015,1694416,213859.13,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/30/2022,2723BKCEXP012818,IN-NL20220526023,1682462,36154.02,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/30/2022,2723BKCEXP012819,IN-US20220525037,1640784,106751.44,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/30/2022,2723BKCEXP012850,IN-HK20220527045,1711922,47022.29,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/30/2022,2723BKCEXP012851,IN-GB20220526049,1693469,163634.3,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/30/2022,2723BKCEXP012854,IN-AE20220527041,1706926,12966.19,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
5/31/2022,2723BKCEXP013365,IN-US20220528007,1732462,30371.25,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/02/2022,2723BKCEXP013580,IN-NL20220601055,1811880,16473.01,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/02/2022,2723BKCEXP013583,IN-US20220601052,1811177,83891.05,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/04/2022,2723BKCEXP013883,IN-NL20220530012,1756379,21035.17,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/04/2022,2723BKCEXP013886,IN-GB20220528040,1750671,161323.39,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/06/2022,2723BKCEXP014424,IN-NL20220602021,1864215,43554.51,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/06/2022,2723BKCEXP014425,IN-HK20220601061,1825945,30443.77,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/06/2022,2723BKCEXP014426,IN-US20220602041,1864904,151769.75,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/07/2022,2723BKCEXP014716,IN-US20220530003,1755853,168990.51,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/07/2022,2723BKCEXP014740,IN-GB20220531078,1811108,192549.13,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/07/2022,2723BKCEXP014790,IN-AE20220603053,1882182,12023.99,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/07/2022,2723BKCEXP014792,IN-AE20220603051,1880182,4235.35,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/07/2022,2723BKCEXP014793,IN-HK20220603054,1884837,24058.95,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/07/2022,2723BKCEXP014795,IN-GB20220603045,1868434,178556.01,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/08/2022,2723BKCEXP015176,IN-TR20220603054,1882174,6952.31,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/08/2022,2723BKCEXP015180,IN-US20220606009,1915949,121902.26,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/08/2022,2723BKCEXP015182,IN-NL20220604028,1905370,49626.71,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/09/2022,2723BKCEXP015331,IN-GB20220607009,1943182,6247.4,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/10/2022,2723BKCEXP015723,IN-US20220608021,1968356,145010.42,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/10/2022,2723BKCEXP015724,IN-NL20220608023,1970107,37950.94,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/10/2022,2723BKCEXP015725,IN-HK20220606049,1934272,25034.6,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
06/10/2022,2723BKCEXP015726,IN-GB20220607032,1968198,135374.85,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/13/2022,2723BKCEXP015790,IN-NL20220609027,1995722,35323.09,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/14/2022,2723BKCEXP016059,IN-NL20220610048,2021390,19619.81,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/14/2022,2723BKCEXP016061,IN-GB20220610054,2022658,1185.16,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/14/2022,2723BKCEXP016063,IN-GB20220609023,2020150,170199.49,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/14/2022,2723BKCEXP016065,IN-HK20220610055,2023591,10396.34,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/14/2022,2723BKCEXP016070,IN-AE20220610059,2024671,19129.25,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/14/2022,2723BKCEXP016071,IN-US20220610039,2020400,159349.94,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/14/2022,2723BKCEXP016073,IN-HK20220608031,1984064,33493.17,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/15/2022,2723BKCEXP016457,IN-GB20220611039,2066891,78549.56,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/16/2022,2723BKCEXP016581,IN-GB20220604032,1906947,78328.41,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/16/2022,2723BKCEXP016640,IN-NL20220613016,2068098,49454.39,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/16/2022,2723BKCEXP016651,IN-US20220613011,2067531,126686.63,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/17/2022,2723BKCEXP016859,IN-US20220615039,2126065,106126.62,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/17/2022,2723BKCEXP016920,IN-HK20220615049,2129678,15267.25,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/17/2022,2723BKCEXP016921,IN-GB20220615034,2123713,138944.42,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/17/2022,2723BKCEXP016923,IN-NL20220615045,2129371,24745.77,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/17/2022,2723BKCEXP016926,IN-NL20220615056,2132439,47252.49,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/17/2022,2723BKCEXP017084,IN-NL20220616032,2152502,32015.18,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/20/2022,2723BKCEXP017364,IN-NL20220617023,2180311,16767.44,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/21/2022,2723BKCEXP017593,IN-GB20220616106,2182426,170354.58,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/21/2022,2723BKCEXP017594,IN-AE20220617016,2207047,39927.89,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/21/2022,2723BKCEXP017599,IN-HK20220617024,2183608,28575.05,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/21/2022,2723BKCEXP017600,IN-US20220617015,2182145,194818.32,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
6/21/2022,2723BKCEXP017770,IN-GB20220618033,2236445,105755.07,0,0,300,0,1500,CGST & SGST,162,162,324,0,2124
