,NIVODA LLP,,01/04/2023  TO 30/09/2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Out MAWB,Execution Date,HAWB #,PU Date,SHIPPER NAME,CONSIGNEE NAME,City,Dest. Site Country,Commodity, Customs Value $ USD,GRS WT,Air Frt Chrgs,Hawb Fees,Wt. Chg.,Val. Chg. ,CDC Charges,Handling charges,ACC Charges,EU /ETC CHANGES AIRLINE,Security Surcharges,Val Charges,Add Valuation,ASI Charges,Ser. Tax,Total Revenue INR
18,724 7024 4926,10/04/23,99013740811,10/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$263,810",18.42 KG,"4,400.00",,"26,250.00",8.00,,"7,000.00",270.00,900.00,200.00,500.00,"2,162.50",285.00,"7,555.57",49531.07
19,724 7024 4941,10/04/23,99013740722,10/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$337,644",15.83 KG,"3,200.00",,"27,000.00",8.00,,,270.00,900.00,200.00,500.00,"2,767.49",285.00,"6,323.49",41453.98
20,125 5380 8311,11/04/23,99013741013,11/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$48,909",4.47 KG,"4,400.00",,"5,250.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,400.86,285.00,"3,440.49",22554.35
21,125 5380 8311,11/04/23,99013741021,11/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$733,627",24.74 KG,"4,400.00",,"36,000.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,"6,013.72",285.00,"9,985.81",65462.53
22,724 7024 5011,11/04/23,99013741012,11/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$58,068",5.21 KG,"3,200.00",,"8,100.00",8.00,,,270.00,900.00,200.00,500.00,476.28,285.00,"2,509.07",16448.35
23,176 5887 5563,12/04/23,99013741235,12/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$2,514",0.41 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,20.49,285.00,"1,116.63",7320.12
24,160 5592 7421,12/04/23,99013741220,12/04/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$9,529",1.22 KG,"2,700.00",,500.00,8.00,,,270.00,,200.00,500.00,77.88,285.00,817.36,5358.24
25,724 7026 0750,12/04/23,99013741211,12/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$51,699",4.58 KG,"4,400.00",,"6,000.00",8.00,,"7,000.00",270.00,900.00,200.00,500.00,423.82,285.00,"3,597.63",23584.45
26,724 7026 0713,12/04/23,99013741212,12/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$134,328",5.48 KG,"3,200.00",,"8,100.00",8.00,,,270.00,900.00,200.00,500.00,"1,100.93",285.00,"2,621.51",17185.44
27,724 7024 5055,13/04/23,99013741526,13/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$75,379",5.89 KG,"4,400.00",,"7,500.00",8.00,,"7,000.00",270.00,900.00,200.00,500.00,618.10,285.00,"3,902.60",25583.7
28,724 7024 5033,13/04/23,99013741495,13/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$120,442",5.99 KG,"3,200.00",,"9,000.00",8.00,,,270.00,900.00,200.00,500.00,986.99,285.00,"2,763.00",18112.99
29,176 5887 5596,15/04/23,99013741699,15/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Cut and Polished Diamonds,"$7,630",0.34 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,62.44,285.00,"1,124.18",7369.62
30,176 5887 5670,17/04/23,99013741960,15/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$13,407",0.47 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,110.10,285.00,"1,132.76",7425.86
31,160 5592 7701,17/04/23,99013741969,15/04/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$12,723",1.25 KG,"2,700.00",,500.00,8.00,,,270.00,,200.00,500.00,104.35,285.00,822.12,5389.47
33,724 7026 1111,17/04/23,99013742017,15/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$164,701",10.77 KG,"3,200.00",,"18,000.00",8.00,,,270.00,900.00,200.00,500.00,"1,353.23",285.00,"4,448.92",29165.15
34,160 5592 7745,17/04/23,99013742056,17/04/23,NIVODA LLP,NIVODA AUSTRALIA PTY LTD,DONVALE,AUSTRALIA,Lab Grown Diamonds,"$3,571",1.30 KG,"7,800.00","3,025.00","1,000.00",8.00,,"26,600.00",270.00,,200.00,500.00,29.58,285.00,"7,149.16",46866.74
35,125 5380 8473,17/04/23,99013742003,17/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$183,941",12.26 KG,"4,400.00",,"17,250.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,"1,510.98",285.00,"5,800.33",38024.31
36,125 5380 8473,17/04/23,99013742113,17/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$97,328",6.31 KG,"4,400.00",,"8,250.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,799.45,285.00,"4,052.25",26564.7
37,724 7026 1111,17/04/23,99013742109,17/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$95,762",4.80 KG,"3,200.00",,"7,200.00",8.00,,,270.00,900.00,200.00,500.00,787.13,285.00,"2,403.02",15753.15
38,160 5592 7804,18/04/23,99013742324,18/04/23,NIVODA LLP,NIVODA AUSTRALIA PTY LTD,DONVALE,AUSTRALIA,Lab Grown Diamonds,"$22,010",1.96 KG,"7,800.00","3,025.00","2,000.00",8.00,,"26,600.00",270.00,,200.00,500.00,180.76,285.00,"7,356.38",48225.14
39,160 5592 7933,19/04/23,99013742520,18/04/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$5,855",0.60 KG,"2,700.00",,,8.00,,,270.00,,200.00,500.00,48.48,285.00,722.07,4733.55
40,125 5380 8484,18/04/23,99013742353,18/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$106,334",7.95 KG,"4,400.00",,"10,500.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,873.38,285.00,"4,470.57",29306.95
41,724 7026 1015,18/04/23,99013742347,18/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$75,922",5.48 KG,"3,200.00",,"8,100.00",8.00,,,270.00,900.00,200.00,500.00,623.62,285.00,"2,535.59",16622.21
42,125 5380 8495,19/04/23,99013742553,19/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$116,436",8.50 KG,"4,400.00",,"11,250.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,956.40,285.00,"4,620.52",30289.92
43,724 7026 3756,19/04/23,99013742568,19/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$58,553",4.74 KG,"3,200.00",,"7,200.00",8.00,,,270.00,900.00,200.00,500.00,481.48,285.00,"2,348.01",15392.49
44,125 5380 8370,20/04/23,99013742817,20/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$76,583",7.57 KG,"4,400.00",,"10,500.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,629.38,285.00,"4,426.62",29019
45,176 5887 5703,21/04/23,99013742986,21/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Cut and Polished Diamonds,$646,0.21 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,4.91,285.00,"1,113.82",7301.73
46,176 5887 5703,21/04/23,99013743158,21/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$9,801",1.25 KG,"4,200.00",,750.00,8.00,,,270.00,720.00,200.00,500.00,80.15,285.00,"1,262.37",8275.52
47,160 5592 7944,21/04/23,99013743054,21/04/23,NIVODA LLP,NIVODA AUSTRALIA PTY LTD,DONVALE,AUSTRALIA,Lab Grown Diamonds,"$77,133",4.43 KG,"8,200.00","3,025.00","7,000.00",8.00,,"26,600.00",270.00,,200.00,500.00,630.55,285.00,"8,409.34",55127.89
48,160 5592 8051,21/04/23,99013743168,21/04/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$14,574",1.16 KG,"2,700.00",,500.00,8.00,,,270.00,,200.00,500.00,119.96,285.00,824.93,5407.89
49,724 7026 3863,21/04/23,99013743063,21/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$80,929",6.60 KG,"4,400.00",,"9,000.00",8.00,,"7,000.00",270.00,900.00,200.00,500.00,661.62,285.00,"4,180.44",27405.06
51,724 7026 3874,21/04/23,99013743073,21/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$237,616",12.25 KG,"3,200.00",,"20,700.00",8.00,,,270.00,900.00,200.00,500.00,"1,943.16",285.00,"5,041.11",33047.27
52,160 5592 8095,25/04/23,99013743376,24/04/23,NIVODA LLP,NIVODA AUSTRALIA PTY LTD,DONVALE,AUSTRALIA,Lab Grown Diamonds,"$53,153",3.10 KG,"8,200.00","3,025.00","5,000.00",8.00,,"26,600.00",270.00,,200.00,500.00,435.09,285.00,"8,014.16",52537.25
53,160 5592 8084,24/04/23,99013743496,24/04/23,NIVODA LLP,NIVODA HK LTD,HUNG HOM,HONG KONG,Lab Grown Diamonds,"$14,638",1.34 KG,"2,700.00",,500.00,8.00,,,270.00,,200.00,500.00,119.40,285.00,824.83,5407.23
54,125 5380 8381,24/04/23,99013743414,24/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$170,377",13.60 KG,"4,400.00",,"19,500.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,"1,393.56",285.00,"6,184.20",40540.76
55,724 7026 3944,24/04/23,99013743424,24/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$209,369",11.16 KG,"3,200.00",,"18,900.00",8.00,,,270.00,900.00,200.00,500.00,"1,712.53",285.00,"4,675.60",30651.13
56,160 5592 8095,25/04/23,99013743742,25/04/23,NIVODA LLP,NIVODA AUSTRALIA PTY LTD,DONVALE,AUSTRALIA,Lab Grown Diamonds,"$51,635",2.46 KG,"8,200.00","3,025.00","3,000.00",8.00,,"26,600.00",270.00,,200.00,500.00,422.00,285.00,"7,651.80",50161.8
57,125 5380 8392,25/04/23,99013743706,25/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$132,897",6.50 KG,"4,400.00",,"8,250.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,"1,086.90",285.00,"4,103.97",26903.87
58,724 7026 6593,25/04/23,99013743698,25/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$77,981",5.19 KG,"3,200.00",,"8,100.00",8.00,,,270.00,900.00,200.00,500.00,637.91,285.00,"2,538.16",16639.07
59,125 5380 8403,26/04/23,99013744026,26/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$110,150",7.32 KG,"4,400.00",,"9,750.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,901.24,285.00,"4,340.57",28454.81
60,724 7026 6615,26/04/23,99013744034,26/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$121,875",5.86 KG,"3,200.00",,"9,000.00",8.00,,,270.00,900.00,200.00,500.00,996.93,285.00,"2,764.79",18124.72
61,125 5380 8414,27/04/23,99013744229,27/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$104,623",7.25 KG,"4,400.00",,"9,750.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,855.44,285.00,"4,332.33",28400.77
62,176 5887 5891,28/04/23,99013744562,28/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Cut and Polished Diamonds,"$3,290",0.32 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,26.99,285.00,"1,117.80",7327.79
63,176 5887 5913,29/04/23,99013744579,28/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$22,348",1.04 KG,"4,200.00",,750.00,8.00,,,270.00,720.00,200.00,500.00,182.38,285.00,"1,280.77",8396.15
64,160 5592 8250,29/04/23,99013744417,28/04/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$41,273",2.52 KG,"2,700.00",,"2,000.00",8.00,,,270.00,,200.00,500.00,337.76,285.00,"1,134.14",7434.9
66,724 7026 6840,28/04/23,99013744509,28/04/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$287,676",11.98 KG,"3,200.00",,"19,800.00",8.00,,,270.00,900.00,200.00,500.00,"2,352.89",285.00,"4,952.86",32468.75
67,176 5887 5913,29/04/23,99013744719,29/04/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$4,330",0.41 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,35.17,285.00,"1,119.27",7337.44
68,724 7026 6884,29/04/23,99013744477,29/04/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$75,107",6.31 KG,"4,400.00",,"8,250.00",8.00,,"7,000.00",270.00,900.00,200.00,500.00,614.20,285.00,"4,036.89",26464.09
69,160 5592 8401,02/05/23,99013744978,02/05/23,NIVODA LLP,NIVODA AUSTRALIA PTY LTD,DONVALE,AUSTRALIA,Lab Grown Diamonds,"$46,121",3.00 KG,"7,800.00","3,025.00","4,000.00",8.00,,"26,600.00",270.00,,200.00,500.00,376.80,285.00,"7,751.66",50816.46
70,160 5592 8375,02/05/23,99013745015,02/05/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$4,769",0.77 KG,"2,700.00",,,8.00,,,270.00,,200.00,500.00,39.23,285.00,720.40,4722.63
71,125 5380 8425,02/05/23,99013744961,02/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$249,593",12.67 KG,"4,400.00",,"18,000.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,"2,040.12",285.00,"6,030.55",39533.67
73,724 7026 7061,02/05/23,99013744951,02/05/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$188,425",11.09 KG,"3,200.00",,"18,900.00",8.00,,,270.00,900.00,200.00,500.00,"1,539.89",285.00,"4,644.52",30447.41
74,176 5887 5946,03/05/23,99013745185,03/05/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$5,192",0.50 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,42.50,285.00,"1,120.59",7346.09
75,125 5380 8436,03/05/23,99013745125,03/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$152,429",11.73 KG,"4,400.00",,"16,500.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,"1,245.66",285.00,"5,617.56",36826.22
76,125 5380 8436,03/05/23,99013745213,03/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$72,372",8.54 KG,"4,400.00",,"12,000.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,591.76,285.00,"4,689.88",30744.64
77,724 7026 7083,03/05/23,99013745215,03/05/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$190,852",9.35 KG,"3,200.00",,"15,300.00",8.00,,,270.00,900.00,200.00,500.00,"1,560.33",285.00,"4,000.20",26223.53
78,160 5592 8681,04/05/23,99013745426,04/05/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$11,355",1.21 KG,"2,700.00",,500.00,8.00,,,270.00,,200.00,500.00,93.18,285.00,820.11,5376.29
79,160 5592 8681,04/05/23,99013745554,04/05/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Cut and Polished Diamonds,$50,0.30 KG,"2,700.00",,,8.00,,,270.00,,200.00,500.00,0.82,285.00,713.49,4677.31
