,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NIVODA LLP  - 01/01/2022   TO  30/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Out MAWB,Execution Date,HAWB #,PU Date,SHIPPER NAME,CONSIGNEE NAME,Dest. Site Code,Dest. Site Country,Service Type, Customs Value $ USD,GRS WT,PKG.,Air Frt Chrgs,Hawb Fees,EU Chg.,Wt. Chg.,Val. Chg. ,CDC Charges,Handling charges,Ser. Tax,ACC Charges,Ground support charge,ETC CHANGES AIRLINE,Security Surcharges,Val Charges,Add Valuation,ASI Charges,Total Revenue INR,Frt. Collect in $”,
17,074 5006 6391,22/01/22,99013648265,19/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$176,149",2.04 KG,1,4600,,1100,2700,8,,,, 270.00 ,,, 200.00 , 500.00 ," 1,320.18 ", 285.00 ,10983.18,,
18,514 0540 1476,22/01/22,99013648866,21/01/22,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,3210,DUBAI,BDB STRONG ROOM TO DOOR,"$31,711",1.20 KG,1,5600,,,375,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 237.65 , 285.00 ,8195.65,,
19,618 4028 5431,22/01/22,99013648844,21/01/22,NIVODA LLP,NIVODA HK LIMITED,3405,HONG KONG,BDB STRONG ROOM TO DOOR,"$28,179",0.64 KG,1,4100,,,,8,,,, 270.00 ,,, 200.00 , 500.00 , 211.41 , 285.00 ,5574.41,,
20,724 2111 9582,25/01/22,99013648820,21/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$118,966",3.82 KG,2,4600,,900,5400,8,,,, 270.00 ,,, 200.00 , 500.00 , 892.11 , 285.00 ,13055.11,,
21,724 2111 9582,25/01/22,99013649085,22/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$38,697",1.64 KG,1,4600,,900,1800,8,,,, 270.00 ,,, 200.00 , 500.00 , 290.12 , 285.00 ,8853.12,,
22,724 2111 9582,25/01/22,99013649144,22/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$4,170",0.85 KG,1,4600,,900,,8,,,, 270.00 ,,, 200.00 , 500.00 , 31.49 , 285.00 ,6794.49,,
23,125 9507 3716,24/01/22,99013649224,24/01/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$110,564",4.24 KG,2,5800,,800,5250,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 829.14 , 285.00 ,23942.14,,
24,125 9507 3742,29/01/22,99013649761,25/01/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$57,299",1.44 KG,1,5800,,800,750,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 429.56 , 285.00 ,19042.56,,
25,724 2111 9000,27/01/22,99013649531,25/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$44,544",2.00 KG,1,4600,,900,1800,8,,,, 270.00 ,,, 200.00 , 500.00 , 333.60 , 285.00 ,8896.6,,
26,176 3352 5914,29/01/22,99013649630,25/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$19,900",1.27 KG,1,4600,,,900,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 149.19 , 285.00 ,7632.19,,
27,176 3352 5914,29/01/22,99013649851,27/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$56,747",2.29 KG,1,4600,,,2700,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 425.07 , 285.00 ,9708.07,,
28,724 2112 2463,02/02/22,99013650064,27/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$46,792",1.60 KG,1,4600,,900,1800,8,,,, 270.00 ,,, 200.00 , 500.00 , 350.15 , 285.00 ,8913.15,,
29,176 3352 5940,31/01/22,99013650343,28/01/22,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,3210,DUBAI,BDB STRONG ROOM TO DOOR,"$22,423",1.05 KG,1,5600,,,375,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 167.93 , 285.00 ,8125.93,,
30,724 2112 2706,04/02/22,99013650152,28/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$214,742",2.09 KG,1,4600,,900,2700,8,,,, 270.00 ,,, 200.00 , 500.00 ," 1,606.34 ", 285.00 ,11069.34,,
31,724 2112 2441,01/02/22,99013650432,29/01/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$145,097",3.99 KG,2,4600,,900,5400,8,,,, 270.00 ,,, 200.00 , 500.00 ," 1,085.61 ", 285.00 ,13248.61,,
32,724 2112 2463,02/02/22,99013650781,01/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$139,838",4.73 KG,2,4600,,900,7200,8,,,, 270.00 ,,, 200.00 , 500.00 ," 1,045.96 ", 285.00 ,15008.96,,
33,160 6881 0700,04/02/22,99013651088,02/02/22,NIVODA LLP,NIVODA HK LIMITED,3405,HONG KONG,BDB STRONG ROOM TO DOOR,"$29,461",0.55 KG,1,4100,,,,8,,,, 270.00 ,,, 200.00 , 500.00 , 220.71 , 285.00 ,5583.71,,
34,724 2112 2706,04/02/22,99013651296,03/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$170,838",4.69 KG,2,4600,,900,7200,8,,,, 270.00 ,,, 200.00 , 500.00 ," 1,277.89 ", 285.00 ,15240.89,,
35,514 0540 1546,07/02/22,99013651543,04/02/22,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,3210,DUBAI,BDB STRONG ROOM TO DOOR,"$29,487",1.06 KG,1,5600,,,375,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 220.71 , 285.00 ,8178.71,,
36,618 4640 8154,05/02/22,99013651651,04/02/22,NIVODA LLP,NIVODA HK LIMITED,3405,HONG KONG,BDB STRONG ROOM TO DOOR,"$27,187",0.54 KG,1,4100,,,,8,,,, 270.00 ,,, 200.00 , 500.00 , 203.50 , 285.00 ,5566.5,,
