#,Customer/Vendor Code,Customer/Vendor Name,Export/Import,PD/CHA,BP Reference No.,Posting Date,Due Date,Document Date,Internal Number,Document Number,E/IR,ER/IR No,Membership Number,Previous Receipt No,Shipper Address,Tracking Number,Order Number,Pay to,NoP,Gross Comm. UOM,Gross Wt,U_NWeight,Net Comm. UOM,IEC No,PD Account,MAWB No,HAWB No,Shipment Type,Document Total,Document Currency,ExporterCode,ExporterName,CHA No,CHB Nm-PD,CHB Cd-PD,Item/Service Description,Row Total,AddSerChrg,Weight,Value,Commodity,NetWt,Total Tax,Rounding Diff. Amount,Taxable Amt,Control Account,CGST Amt @ 9%,SGST Amt @ 9%,IGST Amt @ 18%,SacCode,Irn Number,Receipt No,Cheque No
113,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,02/07/2022,01/08/2022,02/07/2022,1062177,300575,ER No,1000,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2541357,R1-C04516,6,Kgs,12.3,,CARAT,AAQFN4016M,PD-0579,72424698203,99013683229,NORMAL,1581,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1340,0,0,11436013.51,CUT AND POLISHED DIAMOND,197.340000 CARAT,241.2,-0.2,1340,1040201014,120.6,120.6,0,996719,9ba44480e2d977b65efb0d9db43ddeab29346d6a928085c952a4739e15bda626,253941,
124,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,20/02/2023,22/03/2023,20/02/2023,2589969,420364,ER No,9754,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7909265,R1-JE9010B,2,Kgs,6.73,,CARAT,AAQFN4016M,PD-0579,12552494444,0570,NORMAL,1121,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,950,0,0,9896012.12,CUT AND POLISHED DIAMOND,159.640000 CARAT,171,0,950,1040201014,85.5,85.5,0,996719,9e88279b5fbd09d721040bae3da4bbf372287ae635e1a6c508169e643bfbc5ad,260020,
168,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,14/11/2022,14/12/2022,10/11/2022,1823073,370001,IR No,285589,M5112,,"FE5011,""BANDRA KURLA COMPLEX, BANDRA EAST"",G,Mumbai-400051 Maharashtra India",,3233268,R1-C04516,1,Kgs,1.18,,CARAT,AAQFN4016M,PD-0579,72426548756,11014980130,RE-IMPORT,1345,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1140,0,0,4175610,LAB. GROWN CPD,43.780000 CARAT,205.2,-0.2,1140,1040201014,102.6,102.6,0,996719,58cfa644cf26b8bb33b4e574b92df4c8c956ba0e373f8623a6dbdaeba7cbe7fe,257499,
217,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,06/10/2022,05/11/2022,06/10/2022,1595665,351925,ER No,2130,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,4638077,R1-C04516,1,Kgs,2.27,,CARAT,AAQFN4016M,PD-0579,02341977703,4198,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,1539495.43,CUT AND POLISHED DIAMOND,30.280000 CARAT,198,0,1100,1040201014,99,99,0,996719,3063da54d2cc6ddd6079f481ff7494c644457268b38d1b0e5d5ee893ec4b3def,256443,
323,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,29/03/2023,28/04/2023,29/03/2023,2782177,441148,ER No,12779,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8871032,R1-JE9010B,1,Kgs,0.83,,CARAT,AAQFN4016M,PD-0579,02344438424,IPS/K009388,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,40276.79,LAB. GROWN CPD,2.490000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,192a6472dcf134622942c9ab3b2399935a27e6fd2389f3475fd96f1d8f46181b,250421,
435,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,18/01/2023,17/02/2023,18/01/2023,2311297,402879,ER No,7034,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7037219,R1-JE9010B,1,Kgs,0.57,,CARAT,AAQFN4016M,PD-0579,02343304026,7291,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,127372.42,CUT AND POLISHED DIAMOND,3.350000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,df4ec9df41876547f08e433cfbb487305340c1f97a2147147bab3150871a764d,259269,
612,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,22/06/2022,22/07/2022,22/06/2022,1003937,294131,ER No,9935,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2293645,R1-C04516,2,Kgs,4.43,,CARAT,AAQFN4016M,PD-0579,07451875972,99013680872,CONSIGNMENT,1487,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1260,0,0,8708995.82,CUT AND POLISHED DIAMOND,87.960000 CARAT,226.8,0.2,1260,1040201014,113.4,113.4,0,996719,5ad32a29138823ec653e846a352c0e62384167797fefb0d802f3f7a6d7f4b297,253652,
616,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,14/12/2022,13/01/2023,14/12/2022,2033649,387199,ER No,6475,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,6114818,R1-JE9010B,1,Kgs,2.48,,CARAT,AAQFN4016M,PD-0579,72426658026,99013717530,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,4553005.18,CUT AND POLISHED DIAMOND,66.110000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,b45e9e6ccbf919b78a43742a09f6d239a8b83cf5bc3d064ecf41da864eef6bcf,258307,
640,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,20/02/2023,22/03/2023,20/02/2023,2590049,420444,ER No,9904,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7908035,R1-JE9010B,1,Kgs,0.51,,CARAT,AAQFN4016M,PD-0579,02343978410,IPS/K008319,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,4407.04,LAB. GROWN CPD,0.330000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,64ae41828f86986b77d58ff3f0686bac0aada76637aededa5dbdaeb7f81f7b8b,260020,
646,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,26/11/2022,26/12/2022,26/11/2022,1926625,377772,ER No,11161,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5734722,R1-JE9010B,1,Kgs,1.36,,CARAT,AAQFN4016M,PD-0579,02342705062,IPS/K005847,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1339445.21,CUT AND POLISHED DIAMOND,11.320000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,25478d206655b2b66418896dc5b3bd7bab2bbc44bd8a5b01112c788c03ddd2d1,257690,
