#,Customer/Vendor Code,Customer/Vendor Name,Export/Import,PD/CHA,BP Reference No.,Posting Date,Due Date,Document Date,Internal Number,Document Number,E/IR,ER/IR No,Membership Number,Previous Receipt No,Shipper Address,Tracking Number,Order Number,Pay to,NoP,Gross Comm. UOM,Gross Wt,U_NWeight,Net Comm. UOM,IEC No,PD Account,MAWB No,HAWB No,Shipment Type,Document Total,Document Currency,ExporterCode,ExporterName,CHA No,CHB Nm-PD,CHB Cd-PD,Item/Service Description,Row Total,AddSerChrg,Weight,Value,Commodity,NetWt,Total Tax,Rounding Diff. Amount,Taxable Amt,Control Account,CGST Amt @ 9%,SGST Amt @ 9%,IGST Amt @ 18%,SacCode,Irn Number,Receipt No,Cheque No
681,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,08/08/2022,07/09/2022,08/08/2022,1219265,320133,ER No,3217,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,3363369,R1-C04516,1,Kgs,1.36,,CARAT,AAQFN4016M,PD-0579,02341088342,IPS/K002857,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,1379257.7,CUT AND POLISHED DIAMOND,14.870000 CARAT,198,0,1100,1040201014,99,99,0,996719,ed3a7b7cb9bb418ad4889cc5b09397b5efde89912d4132f3beafeeb00e15d1d7,254462,
727,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,21/01/2023,20/02/2023,21/01/2023,2338929,404470,ER No,8248,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7122608,R1-JE9010B,1,Kgs,0.54,,CARAT,AAQFN4016M,PD-0579,02343518204,7409,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,53256.37,CUT AND POLISHED DIAMOND,2.060000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,3b09e4a8d730d61d460ffdfbab36373606c1dcf6943f0b160d566b539a203be9,259269,
1207,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,31/01/2023,02/03/2023,31/01/2023,2429921,408831,ER No,12007,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7396234,R1-JE9010B,1,Kgs,1.81,,CARAT,AAQFN4016M,PD-0579,02343648872,IPS/K007714,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1915342.31,CUT AND POLISHED DIAMOND,26.300000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,eb1be564f468e166a33539bc10c420bdb5beeab3bee0ba3a8c38836bb734e18a,259269,
1348,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,13/09/2022,13/10/2022,13/09/2022,1390561,338448,ER No,5556,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,4134213,R1-C04516,1,Kgs,1.86,,CARAT,AAQFN4016M,PD-0579,02341789064,IPS/K003597,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,1209454.69,CUT AND POLISHED DIAMOND,21.930000 CARAT,198,0,1100,1040201014,99,99,0,996719,55f8dfc58ae52922a94474e35e0789f9d27966abc6ef301812ceddf2cfb20089,255616,
1569,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,06/03/2023,05/04/2023,06/03/2023,2640305,428614,ER No,2298,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8276853,R1-JE9010B,3,Kgs,8.19,,CARAT,AAQFN4016M,PD-0579,12552494433,99013733928,NORMAL,1215,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1030,0,0,11574005.09,CUT AND POLISHED DIAMOND,212.290000 CARAT,185.4,-0.4,1030,1040201014,92.7,92.7,0,996719,30b1aff62a47245989c1efaf9d0a524ae42c00abec11d55960b7919c89e9de47,260715,
1645,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,03/01/2023,02/02/2023,03/01/2023,2209057,395658,ER No,406,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,6654412,R1-JE9010B,1,Kgs,1.3,,CARAT,AAQFN4016M,PD-0579,16049533606,99013720865,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1218999.99,CUT AND POLISHED DIAMOND,14.610000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,81ac007723fe5ab17e66c9c4fe5fa244a728f936d4e8b56430006b95aeb81acd,258615,
1671,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,20/01/2023,19/02/2023,20/01/2023,2329697,403894,ER No,7757,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7106207,R1-JE9010B,3,Kgs,7.76,,CARAT,AAQFN4016M,PD-0579,12551855996,99013724009,NORMAL,1121,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,950,0,0,10466640.51,CUT AND POLISHED DIAMOND,187.650000 CARAT,171,0,950,1040201014,85.5,85.5,0,996719,268f4125d83b8674a5711b49735ab1cbdc38b6edbd884e098ba3bc1f4123aa9a,259269,
1749,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,20/10/2022,19/11/2022,20/10/2022,1717761,361759,ER No,10810,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,4956571,R1-C04516,4,Kgs,8.83,,CARAT,AAQFN4016M,PD-0579,12551828265,99013708012,NORMAL,1676,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1420,0,0,13481999.24,CUT AND POLISHED DIAMOND,153.230000 CARAT,255.6,0.4,1420,1040201014,127.8,127.8,0,996719,abe0630f3b50f5c3bd6c882d0731647e8b1286824cc396dd513d69ed820630f0,256807,
2370,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,05/04/2022,05/05/2022,05/04/2022,872353,251884,ER No,1526,M5112,,"NA,BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9480080,R1-C04516,2,Kgs,4.11,,CARAT,AAQFN4016M,PD-0579,72421134584,99013663774,NORMAL,1345,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1140,0,0,4970001.8,CUT AND POLISHED DIAMOND,72.360000 CARAT,205.2,-0.2,1140,1040201014,102.6,102.6,0,996719,35ae2ae3a29798f497719c44015158e217d0a784dd34a0cbe34b140af3a9af94,251291,
2381,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,26/11/2022,26/12/2022,26/11/2022,1927585,377984,ER No,11432,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5716252,R1-JE9010B,1,Kgs,0.74,,CARAT,AAQFN4016M,PD-0579,02342705051,5829,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,92259.17,LAB. GROWN CPD,4.080000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,c7dfb00740d4d98351daa6bd82967d1c60e8b5d3593a286fd6f0ccdd1396b913,257690,
2406,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,27/12/2022,26/01/2023,27/12/2022,2136513,393104,ER No,11550,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,6466974,R1-JE9010B,8,Kgs,16.86,,CARAT,AAQFN4016M,PD-0579,12551855790,99013719977,NORMAL,1735,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1470,0,0,22767018.53,CUT AND POLISHED DIAMOND,341.490000 CARAT,264.6,0.4,1470,1040201014,132.3,132.3,0,996719,bfebd616386a2235616f843ed3ca67fc6497913c1570afb4225e90c55a7ecf70,258486,
2411,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,19/11/2022,19/12/2022,19/11/2022,1867201,374277,ER No,8162,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5548122,R1-JE9010B,1,Kgs,0.87,,CARAT,AAQFN4016M,PD-0579,02342705924,5562,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,59323.26,CUT AND POLISHED DIAMOND,4.020000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,47f15b68aef0af2000f300e7f46251f3f517bbe8f41be107a08ff4eea478fae5,257499,
2558,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,03/11/2022,03/12/2022,03/11/2022,1809185,366105,ER No,1030,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5215864,R1-C04516,1,Kgs,1.03,,CARAT,AAQFN4016M,PD-0579,02342254833,5057,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,340425.36,LAB. GROWN CPD,23.550000 CARAT,198,0,1100,1040201014,99,99,0,996719,8f902bf2376370aa93f74fa118e5a6d921c75e206f4b440fa823a9fa5fa5afdc,257304,
2603,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,07/01/2023,06/02/2023,07/01/2023,2225921,398060,ER No,2683,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,6773528,R1-JE9010B,1,Kgs,0.72,,CARAT,AAQFN4016M,PD-0579,17657540302,1808,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,2738002.76,LAB. GROWN CPD,92.630000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,f5198116988d6ee9f34a44d5fc98749f4d940e7eb9096a8d3ee5242b7e805026,258988,
2684,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,02/12/2022,01/01/2023,02/12/2022,1967377,381185,ER No,1121,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5876628,R1-JE9010B,2,Kgs,3.35,,CARAT,AAQFN4016M,PD-0579,02342705154,6028,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,3399271.98,CUT AND POLISHED DIAMOND,40.420000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,a3c7f18f9e9b900db64f65122985474cee503dab71f2c9a6e68251b9971ddd27,258038,
2749,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,26/09/2022,26/10/2022,26/09/2022,1503153,346544,ER No,12658,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,4413540,R1-C04516,1,Kgs,1.59,,CARAT,AAQFN4016M,PD-0579,02341923184,3902,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,1430457.94,CUT AND POLISHED DIAMOND,14.320000 CARAT,198,0,1100,1040201014,99,99,0,996719,49fa78f334121e9e471433d09730cbfe74ee5672aa04a6ae7297abacbad6e6f3,256807,
2932,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,14/02/2023,16/03/2023,14/02/2023,2547649,417213,ER No,7038,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7767016,R1-JE9010B,1,Kgs,0.73,,CARAT,AAQFN4016M,PD-0579,16052844735,99013729168,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,762999.84,LAB. GROWN CPD,20.600000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,5046901570bd27a94843f0202b9911256c1f4322547067f0baf75961af0bb9a4,259834,
3056,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,04/03/2023,03/04/2023,04/03/2023,2636753,428088,ER No,1908,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8243925,R1-JE9010B,1,Kgs,1.52,,CARAT,AAQFN4016M,PD-0579,02344149825,IPS/K008723,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1189464.28,CUT AND POLISHED DIAMOND,14.600000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,2cca37e33d837ac5ab12f98dc1f4edf650118b89bbc559f8406672e336e95349,260393,
3168,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,29/11/2022,29/12/2022,29/11/2022,1955425,378986,ER No,12110,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5790284,R1-JE9010B,1,Kgs,1.63,,CARAT,AAQFN4016M,PD-0579,02342705106,IPS/K005922,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,709296.64,CUT AND POLISHED DIAMOND,13.460000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,e6ab3cc2774c45b4276cbed95796a80f14f90ae52a64de3b6c720bbe103c96f4,257690,
3228,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,06/02/2023,08/03/2023,06/02/2023,2487665,412233,ER No,2623,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7533567,R1-JE9010B,1,Kgs,0.62,,CARAT,AAQFN4016M,PD-0579,02343648953,IPS/K007878,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,248277.75,CUT AND POLISHED DIAMOND,11.060000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,30eb51f7e96533f7bfe51c8a49825a9dd6f6fb7d42d7791f4efe168afabfd412,259834,
3236,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,30/09/2022,30/10/2022,30/09/2022,1538001,349181,ER No,15030,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,4526744,R1-C04516,1,Kgs,0.82,,CARAT,AAQFN4016M,PD-0579,51405947152,IPS/K004040,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,84403.39,CUT AND POLISHED DIAMOND,2.230000 CARAT,198,0,1100,1040201014,99,99,0,996719,2c2661a673d607f8c43d6f3783e609f4a3c0fdc6a3fd9fb3b64727e5828fd3b3,256194,
3390,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,16/11/2022,16/12/2022,16/11/2022,1841313,371971,ER No,6098,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5486268,R1-C04516,1,Kgs,2.49,,CARAT,AAQFN4016M,PD-0579,02342705865,5427,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,1975344.95,CUT AND POLISHED DIAMOND,35.480000 CARAT,198,0,1100,1040201014,99,99,0,996719,2493cdd39d8cce988e4c9e4952c347b095c65ef2f023817b2d3f520242f79b4a,257499,
3471,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,19/05/2022,18/06/2022,13/05/2022,916689,275196,IR No,273434,M5112,,"CC6055,BHARAT DIAMOND BOURSE , 6TH FLOOR BANDRA KURLA COMPLEX Cont , BANDRA EAST,,MUMBAI-400051 Maharashtra India",,8655999,R1-C04516,1,Kgs,0.5,,"CARAT,CARAT",AAQFN4016M,PD-0579,72424902076,11014698338,RE-IMPORT,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,1894574,"CUT AND POLISHED DIAMOND,LAB. GROWN CPD","22.380000 CARAT,CARAT",198,0,1100,1040201014,99,99,0,996719,ea7fcd64cf43e6d7c84a69e6c61a20776e915d6327be1d8326ddd2cb4b5a2ffe,251630,
3621,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,01/03/2023,31/03/2023,01/03/2023,2633777,426470,ER No,418,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8161240,R1-JE9010B,1,Kgs,1.34,,CARAT,AAQFN4016M,PD-0579,12552494492,99013733132,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1158999.5,LAB. GROWN CPD,32.560000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,810c6ddbad600d19ddf1917e0174c864f02699192e1b6bc5b45b3163503e26b0,260393,
3712,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,14/11/2022,14/12/2022,14/11/2022,1823281,370199,ER No,4512,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5403061,R1-C04516,1,Kgs,0.72,,CARAT,AAQFN4016M,PD-0579,51406026274,IPS/K005326,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,63497.78,CUT AND POLISHED DIAMOND,1.000000 CARAT,198,0,1100,1040201014,99,99,0,996719,dffe112846af721ab72f8be667892ed3ce6c0fdbf6e7839aca33c86e48baea3f,257499,
3790,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,03/03/2023,02/04/2023,03/03/2023,2635793,427664,ER No,1478,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8222923,R1-JE9010B,1,Kgs,0.71,,CARAT,AAQFN4016M,PD-0579,02344149803,8713,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,126260.91,CUT AND POLISHED DIAMOND,5.370000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,5baeebeff1f55964f75d2c13d8293aa709bf153365be70b7862896e951881614,260393,
