Invoice #,Invoice Date,Paid Date,Balance Amount,Shipment Create Date,Shipper Company,Shp. Address,Shp. City,Shp. State,Shp. Zip/Postal Code,Shp. Country,Pickup Date,Pickup Company,PU Address,PU City,PU State,PU Zip/Postal ,PU Country,Delivery Company,Dlv. Address,Dlv. City,Dlv. State,Dlv. Zip/Postal ,Dlv. Country,HAWB #,Item #,P.O.#,MAWB #,Shippers Ref,Pick Up Invoice Number,Commodity,,Weight (LBs),Weight (KGs),Chrg. Weight (KGs),Liability,Liability Currency,Base Charge,Weight Charge,Valuation Charge,Security Charge,Fuel Charge,Other Charges,Tax Amount,Total,Currency Code,Invoicing Entity
2313664,13-Apr-2023,28-Apr-2023,0.00,03-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,03-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013739556,990109882220 ,,724-7024-4425,9032029,,Lab Grown Diamonds,,24.87,11.28,11.28,"225,156",(USD) ,85.00,0.00,135.09,25.00,0.00,35.00,0.00,280.09,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2313664,13-Apr-2023,28-Apr-2023,0.00,05-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,05-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013739963,990109887223 ,,724-7024-4576,9082955,,Lab Grown Diamonds,,24.60,11.16,11.16,"202,576",(USD) ,85.00,0.00,121.55,25.00,0.00,35.00,0.00,266.55,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2313664,13-Apr-2023,28-Apr-2023,0.00,06-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,06-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013740301,990109890922 ,,724-7024-4650,9113192,,Lab Grown Diamonds,,10.89,4.94,4.94,"111,666",(USD) ,85.00,0.00,67.00,25.00,0.00,118.71,0.00,295.71,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2313664,13-Apr-2023,28-Apr-2023,0.00,10-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,10-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013740722,990109896032 ,,724-7024-4941,9176974,,Lab Grown Diamonds,,34.90,15.83,15.83,"337,644",(USD) ,85.00,0.00,202.59,25.00,0.00,35.00,0.00,347.59,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2313664,13-Apr-2023,28-Apr-2023,0.00,06-Apr-2023,Nivoda USA LLC,589 5th Avenue,New York City,NY,10017,US,06-Apr-2023,Nivoda USA LLC,589 5th Avenue,New York City,NY,10017,US,NIVODA LLP,"JE9010B, BHARAT ",MUMBAI,MH,400051,IN,11021566874,096978200186 11021566874 ,,724-7085-4206,,,Lab Grown C&P Diamonds,,1.90,0.86,0.86,"24,212",(USD) ,0.00,32.00,200.00,30.00,13.20,100.00,0.00,375.20,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2314886,26-Apr-2023,19-May-2023,0.00,11-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,11-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013741012,990109899075 ,,724-7024-5011,9207473,,Lab Grown Diamonds,,11.49,5.21,5.21,"58,068",(USD) ,85.00,0.00,35.00,25.00,0.00,35.00,0.00,180.00,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2314886,26-Apr-2023,19-May-2023,0.00,12-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,12-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013741212,990109901444 ,,724-7026-0713,9232647,,Lab Grown Diamonds,,12.08,5.48,5.48,"134,328",(USD) ,85.00,0.00,80.60,25.00,0.00,35.00,0.00,225.60,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2314886,26-Apr-2023,19-May-2023,0.00,13-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,13-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013741495,990109904594 ,,724-7024-5033,9266111,,Lab Grown Diamonds,,13.21,5.99,5.99,"120,442",(USD) ,85.00,0.00,72.27,25.00,0.00,35.00,0.00,217.27,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2314886,26-Apr-2023,19-May-2023,0.00,15-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,15-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013742017,990109910500 ,,724-7026-1111,9333084,,Lab Grown Diamonds,,23.74,10.77,10.77,"164,701",(USD) ,85.00,0.00,98.82,25.00,0.00,35.00,0.00,243.82,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
2314886,26-Apr-2023,19-May-2023,0.00,17-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,17-Apr-2023,NIVODA LLP,JE 9010 BHARAT ,MUMBAI,MH,400051,IN,NIVODA USA LLC,589 FIFTH AVENUE,NEW YORK,NY,10017,US,99013742109,990109911605 ,,724-7026-1111,9338603,,Lab Grown Diamonds,,10.58,4.80,4.80,"95,762",(USD) ,85.00,0.00,57.46,25.00,0.00,35.00,0.00,202.46,USD,"BRINK'S GLOBAL SERVICES,NEW YORK,US"
