CONBRN,CONBILLNO,CONBILLDATE,CONSHIPPER,CONCOSIGN,CONHAWBNO,CONHAWBDT,MAWB,CONMAWDT,TrackingNo,CONPRD1,CONPKGS,CONGRSWT,CONNETWT,CONSHPBILL,CONPORT,FREIGHT,OTHER,VALCHG,CONAGTFEE,CONCARRFEE,TOTAL,GST,ROUND OFF,AMOUNT DUE,CGSTAMT,SGSTAMT,IGSTAMT,UTGSTAMT,OCGSTAMT,OSGSTAMT,OIGSTAMT,OUTGSTAMT,FCGSTTAXRATE,CGST,FSGSTTAXRATE,SGST,FIGSTTAXRATE,IGST,FUTGSTTAXRATE,UTGST,ROUNDOFF,DISCOUNT,CONTOSHIP,SHIPPER,EXPRTNM,BILLTO,ServiceType,shipmentProductType,ShipmentDays,AIRLINECODE,AIRLINE,JOBNO,CIFVAL,CIFRS,GRNO,GRDT,ShipperPan,BillingPartyPanNo,IPSDDF,BLADD1,BLADD2,BLADD3,BLCITY,BLSTNAME,BLSTGSTSTATE,BLGSTNO,BLPANNO,BLCODE,BLPIN
BKC  ,2724BKCIPS004588,8/28/2023,N00691    ,N2924,IPS/K004531                   ,8/25/2023,02346922492,8/25/2023,773170121082,LAB GROWN CUT & POLISHED DIAMONDS,1,1.79,40.2,3455906,JNB,15650,0,0,0,3300,18950,3411,0,22361,0,0,594,0,0,0,0,0,0,0,0,0,18,2817,0,0,0,0,N00691,NIVODA LLP,NIVODA SOUTH AFRICE (PTY) LTD,NIVODA LLP,FEDEX,,,FE,FEDEX,KE844457            ,11045.8,907965,WA 20230825032,8/25/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004589,8/28/2023,N00691    ,N2828,IPS/K004540                   ,8/25/2023,02346922503,8/25/2023,773170559282,LAB GROWN CUT & POLISHED DIAMONDS,1,0.61,4.3,3456983,VIC,11650,0,0,0,1535,13185,2373.3,0,15558,0,0,276.3,0,0,0,0,0,0,0,0,0,18,2097,0,0,-0.3,0,N00691,NIVODA LLP,"NIVODA AUSTRALIA PTY LTD,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE844507            ,1157.97,61315,WA 20230825043,8/25/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004590,8/28/2023,N00691    ,N2931,IPS/K004543                   ,8/25/2023,02346922492,8/25/2023,773171691078,LAB GROWN CUT & POLISHED DIAMONDS,1,0.67,10.91,3457738,NYC,9850,0,0,0,1535,11385,2049.3,0,13434,0,0,276.3,0,0,0,0,0,0,0,0,0,18,1773,0,0,-0.3,0,N00691,NIVODA LLP,"NIVODA USA LLC.,.",NIVODA LLP,FEDEX,,,FE,FEDEX,KE844525            ,2556.95,210181,WA 20230825038,8/25/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004591,8/28/2023,N00691    ,N2922,IPS/K004546                   ,8/25/2023,02346922492,8/25/2023,773171862294,LAB GROWN CUT & POLISHED DIAMONDS,1,0.61,5.51,3459125,AMS,10400,0,0,0,1535,11935,2148.3,0,14083,0,0,276.3,0,0,0,0,0,0,0,0,0,18,1872,0,0,-0.3,0,N00691,NIVODA LLP,"NIVODA.,.,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE844553            ,1326.98,117969,WA 20230825057,8/25/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004592,8/28/2023,N00691    ,N2848,IPS/K004551                   ,8/26/2023,02346922514,8/25/2023,782956525828,LAB GROWN CUT & POLISHED DIAMONDS,1,0.76,19.25,3466802,LON,10400,0,0,0,2347,12747,2294.46,0,15041,0,0,422.46,0,0,0,0,0,0,0,0,0,18,1872,0,0,-0.46,0,N00691,NIVODA LLP,"NIVODA LIMITED,,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE844621            ,5278.57,548443,WA 20230825046,8/25/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004593,8/28/2023,N00691    ,N2828,IPS/K004563                   ,8/26/2023,02346922525,8/26/2023,782955958103,LAB GROWN CUT & POLISHED DIAMONDS,1,1.53,22.84,3481131,VIC,15999,0,0,0,3300,19299,3473.82,0,22773,0,0,594,0,0,0,0,0,0,0,0,0,18,2879.82,0,0,0.18,0,N00691,NIVODA LLP,"NIVODA AUSTRALIA PTY LTD,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE844683            ,69118.31,3659815,WA 20230825074,8/26/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004594,8/28/2023,N00691    ,N2828,IPS/K004564                   ,8/26/2023,02346922525,8/26/2023,782955925487,LAB GROWN CUT & POLISHED DIAMONDS,1,0.62,4.9,3481136,VIC,11650,0,0,0,2417,14067,2532.06,0,16599,0,0,435.06,0,0,0,0,0,0,0,0,0,18,2097,0,0,-0.06,0,N00691,NIVODA LLP,"NIVODA AUSTRALIA PTY LTD,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE844684            ,1685.01,89221,WA 20230825026,8/26/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004673,8/30/2023,N00691    ,N2828,IPS/K004598                   ,8/28/2023,02346922551,8/28/2023,782989781207,LAB GROWN CUT & POLISHED DIAMONDS,1,3,74.99,3509417,VIC,13899,0,0,0,5065,18964,3413.52,0,22378,0,0,911.7,0,0,0,0,0,0,0,0,0,18,2501.82,0,0,0.48,0,N00691,NIVODA LLP,"NIVODA AUSTRALIA PTY LTD,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE844813            ,47203.9,2499447,WA 20230828009,8/28/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004674,8/30/2023,N00691    ,N2924,IPS/K004634                   ,8/29/2023,02346922562,8/29/2023,783052943077,CUT & POLISHED DIAMONDS,1,0.97,3.22,3543384,JNB,15650,0,0,0,3300,18950,3411,0,22361,0,0,594,0,0,0,0,0,0,0,0,0,18,2817,0,0,0,0,N00691,NIVODA LLP,NIVODA SOUTH AFRICE (PTY) LTD,NIVODA LLP,FEDEX,,,FE,FEDEX,KE845067            ,2330.27,191548,WA 20230829046,8/29/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004675,8/30/2023,N00691    ,N2828,IPS/K004635                   ,8/29/2023,02346922573,8/29/2023,783053277212,LAB GROWN CUT & POLISHED DIAMONDS,1,2.98,70.7,3540663,VIC,13899,0,0,0,5065,18964,3413.52,0,22378,0,0,911.7,0,0,0,0,0,0,0,0,0,18,2501.82,0,0,0.48,0,N00691,NIVODA LLP,"NIVODA AUSTRALIA PTY LTD,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE845062            ,34932.92,2871486,WA 20230829044,8/29/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004676,8/30/2023,N00691    ,N2924,IPS/K004639                   ,8/29/2023,02346922562,8/29/2023,783053611117,LAB GROWN CUT & POLISHED DIAMONDS,1,1.22,23.99,3544497,JNB,15650,0,0,0,3300,18950,3411,0,22361,0,0,594,0,0,0,0,0,0,0,0,0,18,2817,0,0,0,0,N00691,NIVODA LLP,NIVODA SOUTH AFRICE (PTY) LTD,NIVODA LLP,FEDEX,,,FE,FEDEX,KE845100            ,7772.77,638922,WA 20230829050,8/29/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004677,8/30/2023,N00691    ,N2922,IPS/K004642                   ,8/29/2023,02346922562,8/29/2023,783054414974,LAB GROWN CUT & POLISHED DIAMONDS,1,0.64,7.07,3545541,AMS,10400,0,0,0,2347,12747,2294.46,0,15041,0,0,422.46,0,0,0,0,0,0,0,0,0,18,1872,0,0,-0.46,0,N00691,NIVODA LLP,"NIVODA.,.,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE845123            ,1349.79,119996,WA-20230829049,8/29/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004678,8/30/2023,N00691    ,N2828,IPS/K004643                   ,8/29/2023,02346922573,8/29/2023,783054168818,LAB GROWN CUT & POLISHED DIAMONDS,1,0.61,9.86,3546494,VIC,11650,0,0,0,2417,14067,2532.06,0,16599,0,0,435.06,0,0,0,0,0,0,0,0,0,18,2097,0,0,-0.06,0,N00691,NIVODA LLP,"NIVODA AUSTRALIA PTY LTD,,,,",NIVODA LLP,FEDEX,,,FE,FEDEX,KE845124            ,3950.48,209178,WA-20230829051,8/29/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
BKC  ,2724BKCIPS004679,8/30/2023,N00691    ,N2931,IPS/K004645                   ,8/29/2023,02346922562,8/29/2023,783054278260,CUT & POLISHED DIAMONDS,1,0.54,0.33,3548288,NYC,9850,0,0,0,2267,12117,2181.06,0,14298,0,0,408.06,0,0,0,0,0,0,0,0,0,18,1773,0,0,-0.06,0,N00691,NIVODA LLP,"NIVODA USA LLC.,.",NIVODA LLP,FEDEX,,,FE,FEDEX,KE845142            ,114.28,9394,WA-20230829053,8/29/2023,AAQFN4016M,AAQFN4016M,,JE 9010 B BHARAT DIAMOND BOURSE BKC BANDRA EAST,,,Mumbai,MAHARASHTRA,27,27AAQFN4016M1ZU,AAQFN4016M,N00691    ,400051
